paper_id,Title,Link,download_note
006,"A novel, human-in-the-loop computational grounded theory framework for big social data",https://doi.org/10.1177/20539517251347598,no candidate PDF URL
007,A quasi-experimental analysis of capabilities and limitations of generative AI in academic content evaluation in social sciences,https://doi.org/10.1016/j.ipm.2025.104365,no candidate PDF URL
008,A scalable framework for building and validating knowledge-driven synthetic consumer agents with large language models,https://doi.org/10.1016/j.jii.2026.101183,no candidate PDF URL
009,A survey of social network simulation in the LLM era: From classical models to Generative Agents,https://doi.org/10.1016/j.knosys.2026.116947,no candidate PDF URL
015,Agentic AI for Sustainable Development: Leveraging Large Language Model-Enhanced Agent-Based Modeling for Complex Policy Strategies,https://doi.org/10.1177/27523543251365678,Crossref: HTTP 403
018,AI and the transformation of social science research,https://doi.org/10.1126/science.adi1778,no candidate PDF URL
022,AITurk: Using ChatGPT for Social Science Research,https://doi.org/10.2139/ssrn.4922861,no candidate PDF URL
027,Automating the qualitative interview? Using Gen AI chatbots in social science research,https://doi.org/10.1177/20597991261448157,Crossref: HTTP 403
029,Balancing Large Language Model Alignment and Algorithmic Fidelity in Social Science Research,https://doi.org/10.1177/00491241251342008,Crossref: HTTP 403
030,Believable urban planning via large language model-enabled behavior modeling: A conceptual framework,https://doi.org/10.1016/j.cities.2026.107243,no candidate PDF URL
037,Can AI language models replace human participants?,https://doi.org/10.1016/j.tics.2023.04.008,no candidate PDF URL
038,Can ChatGPT Perform a Grounded Theory Approach to Do Risk Analysis? An Empirical Study,https://doi.org/10.1080/07421222.2024.2415772,no candidate PDF URL
053,Challenges and Opportunities of LLM-Based Synthetic Personae and Data in HCI,https://doi.org/10.1145/3613905.3636293,ACM: HTTP 403
054,ChatGPT as a research proxy: simulating human attitudes in social science research,https://doi.org/10.1007/s42001-025-00452-1,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
061,Computational Basis of Large Language Models’ Decision Making in Social Simulation,https://doi.org/10.1177/00811750261421220,Crossref: HTTP 403
062,Computational ethnography and public health: Scaling and deepening lived experience research on social determinants of health with large language models,https://doi.org/10.1016/j.puhe.2025.105973,no candidate PDF URL
063,Consumer segmentation with large language models,https://doi.org/10.1016/j.jretconser.2024.104078,no candidate PDF URL
065,Correcting the Measurement Errors of AI-Assisted Labeling in Image Analysis Using Design-Based Supervised Learning,https://doi.org/10.1177/00491241251333372,Crossref: HTTP 403
067,Detecting cyber employment fraud in platform-based space: A multi-agent large language model approach,https://doi.org/10.1016/j.jcrimjus.2026.102692,no candidate PDF URL
068,Do large language models shop like people? Comparing GPT and human food choices using discrete choice experiments,https://doi.org/10.1016/j.foodqual.2026.105930,no candidate PDF URL
071,Does GPT-3 know what the Most Important Issue is? Using Large Language Models to Code Open-Text Social Survey Responses At Scale,https://doi.org/10.2139/ssrn.4310154,no candidate PDF URL
080,Emergent cooperation and strategy adaptation in multi-agent systems: An extended coevolutionary theory with LLMs,https://doi.org/10.3390/electronics12122722,OpenAlex: HTTP 403 | OpenAlex: HTTP 500
082,Energy Social Surveys Replicated with Large Language Model Agents,https://doi.org/10.2139/ssrn.4686345,no candidate PDF URL
084,Ethnography and artificial intelligence: the question of context,https://academic.oup.com/anncom/article/50/1/66/8404611,no candidate PDF URL
095,Exploring the Capacity of Large Language Models to Simulate Students’ Scientific Thinking: Insights for Responsive Teaching,https://doi.org/10.1007/s10956-026-10333-5,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
102,From Codebooks to Promptbooks: Extracting Information from Text with Generative Large Language Models,https://doi.org/10.1177/00491241251336794,Crossref: HTTP 403 | OpenAlex: HTTP 403 | OpenAlex: not PDF (text/html; charset=utf-8; 12618 bytes)
104,From tools to partners: How large language models are transforming urban planning,https://doi.org/10.1016/j.aiopen.2025.11.001,no candidate PDF URL
112,Generative agents for urban mobility: A cognitive framework for realistic travel behavior simulation,https://doi.org/10.1016/j.simpat.2025.103234,no candidate PDF URL
114,Generative AI and simulation modeling: What do we need to know?,https://doi.org/10.1002/sdr.1773,no candidate PDF URL
116,Generative AI for Social Interaction Analysis: A Study of COVID-19 Video Comment Threads,https://doi.org/10.1111/jpr.12602,Wiley: HTTP 403
117,Generative AI in the Social Sciences: Toward Critical Integration and Methodological Innovation,https://doi.org/10.31235/osf.io/f8dr5_v1,OSF: not PDF (application/octet-stream; 72222 bytes)
118,Generative AI Meets Open-Ended Survey Responses: Research Participant Use of AI and Homogenization,https://doi.org/10.1177/00491241251327130,Crossref: HTTP 403
121,GPT is an effective tool for multilingual psychological text analysis,https://doi.org/10.1073/pnas.2308950121,OpenAlex: HTTP 403 | OpenAlex: not PDF (text/html; charset=utf-8; 1817 bytes)
124,How Accurate are GPT-3's Hypotheses About Social Science Phenomena?,https://doi.org/10.1007/s44206-023-00054-2,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
126,How well can large language model agents simulate complex legal dispute resolution?,https://doi.org/10.1007/s10506-026-09518-5,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
133,Innovative Artificial Intelligence-Assisted Systems for Social Science Research: Architecture Design and Applied Practice,https://doi.org/10.1002/aiv2.70003,Crossref: HTTP 403
134,"Integrating Generative Artificial Intelligence into Social Science Research: Measurement, Prompting, and Simulation",https://doi.org/10.1177/00491241251339184,Crossref: HTTP 403
142,Judge AI: A Case-Study of Large Language Models as Judges,https://doi.org/10.1177/2755323X261433614,Crossref: HTTP 403
148,Large Language Model-Driven Multi-Agent Simulation of Online Firestorms,https://doi.org/10.3390/app16125870,no candidate PDF URL
149,Large language models as experimental systems in human psychopathology: a modelling study,https://doi.org/10.1016/j.landig.2026.101014,no candidate PDF URL
158,"Large language models for history, philosophy, and sociology of science: Interpretive uses, methodological challenges, and critical perspectives",https://doi.org/10.1016/j.shpsa.2026.102151,no candidate PDF URL
160,Large Language Models in Qualitative Analysis: Comparing Traditional and Researcher-Interpreted Approaches,https://doi.org/10.1177/16094069261426100,Crossref: HTTP 403
180,Machine Bias. How Do Generative Language Models Answer Opinion Polls?,https://doi.org/10.1177/00491241251330582,Crossref: HTTP 403 | OpenAlex: HTTP 403
185,Navigating the Risks of Using Large Language Models for Text Annotation in Social Science Research,https://doi.org/10.1177/08944393251366243,Crossref: HTTP 403
196,Piercing a Methodological Bubble: Large Language Models and the Social Sciences,https://doi.org/10.1007/s40647-026-00473-8,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
197,PolicySim: An LLM-Based Agent Social Simulation Sandbox for Proactive Policy Optimization,https://doi.org/10.1145/3774904.3792555,ACM: HTTP 403
202,"Prompts, Pearls, Imperfections: Comparing ChatGPT and a Human Researcher in Qualitative Data Analysis",https://doi.org/10.1177/10497323241244669,Crossref: HTTP 403 | OpenAlex: not PDF (text/html; charset=utf-8; 21404 bytes)
204,Qualitative Research Methods for Large Language Models: Conducting Semi-Structured Interviews with ChatGPT and BARD on Computer Science Education,https://doi.org/10.3390/informatics10040078,OpenAlex: HTTP 403
207,Rationality and financial risk aversion in large language models: Evidence from a multi-model Holt–Laury experiment,https://doi.org/10.1016/j.jbef.2026.101235,OpenAlex: HTTP 403
208,Real world community oriented high-definition social simulation: Combining reinforcement learning and large language models,https://doi.org/10.1016/j.cities.2025.106468,no candidate PDF URL
210,Reproducibility and credibility in computational social science: Testing the fidelity of GenAI-generated data,https://doi.org/10.1016/j.joitmc.2026.100792,no candidate PDF URL
217,Seeing economic development like a large language model. A methodological approach to the exploration of geographical imaginaries in generative AI,https://doi.org/10.1016/j.geoforum.2024.104175,no candidate PDF URL
224,Simulating Human Decision-Making in Ultimatum Games using Large Language Models,https://doi.org/10.1145/3715928.3737473,ACM: HTTP 403
225,Simulating Human Opinions with Large Language Models: Opportunities and Challenges for Personalized Survey Data Modeling,https://doi.org/10.1145/3708319.3733685,ACM: HTTP 403
226,"Simulating Human Society with Large Language Model Agents: City, Social Media, and Economic System",https://doi.org/10.1145/3589335.3641253,ACM: HTTP 403
233,Simulating Social Network with LLM Agents: An Analysis of Information Propagation and Echo Chambers,https://doi.org/10.1007/978-981-96-0178-3_5,no candidate PDF URL
235,Simulating theory and society: large language models and generative artificial intelligence as new tools for sociological theorizing,https://doi.org/10.1007/s11186-025-09606-6,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
240,Social Cognition Simulation with Large Language Model-driven Agents,https://doi.org/10.16182/j.issn1004731x.joss.25-0612,no candidate PDF URL
247,Synthetic ethnography: Field devices for the qualitative study of generative models,https://doi.org/10.1177/20539517241303126,Crossref: HTTP 403
250,Teaching via LLM-enhanced simulations: Authenticity and barriers to suspension of disbelief,https://doi.org/10.1016/j.iheduc.2024.100990,no candidate PDF URL
251,Testing theories of political persuasion using AI,https://doi.org/10.1073/pnas.2412815122,OpenAlex: HTTP 403
255,The Mixed Subjects Design: Treating Large Language Models as Potentially Informative Observations,https://doi.org/10.1177/00491241251326865,Crossref: HTTP 403
260,The use and methodological reporting of large language models in qualitative research: a scoping review,https://doi.org/10.1186/s12874-026-02913-1,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
274,Using large language models for survey research in communication: opportunities and challenges,https://doi.org/10.1007/s44382-025-00014-z,Crossref: not PDF (text/html; charset=utf-8; 3038 bytes)
275,Using large language models in psychology,https://doi.org/10.1038/s44159-023-00241-5,Nature: not PDF (text/html; charset=utf-8; 457574 bytes)
287,Wisdom of the silicon crowd: LLM ensemble prediction capabilities rival human crowd accuracy,https://doi.org/10.1126/sciadv.adp1528,OpenAlex: not PDF (text/html; charset=utf-8; 21373 bytes) | OpenAlex: HTTP 403
