arxiv_id,year,title,category,scope,arxiv_url
2501.04410,2025,"User Simulation in the Era of Generative AI: User Modeling, Synthetic Data Generation, and System Evaluation",methods_review,primary,https://arxiv.org/abs/2501.04410
2501.05171,2025,Emergence of Human-like Polarization among Large Language Model Agents,social_simulation,primary,https://arxiv.org/abs/2501.05171
2501.06834,2025,Large Language Models Model Non-WEIRD Populations with Some Success,methods_validation,primary,https://arxiv.org/abs/2501.06834
2501.08579,2025,LLM-based Human Simulations Have Not Yet Been Reliable,methods_review,primary,https://arxiv.org/abs/2501.08579
2502.08691,2025,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,social_simulation,primary,https://arxiv.org/abs/2502.08691
2502.09082,2025,CoSER: Coordinating LLM-Based Persona Simulation of Established Roles,human_roleplay,extended,https://arxiv.org/abs/2502.09082
2502.11649,2025,Competing LLM Agents in a Non-Cooperative Game of Opinion Polarisation,social_simulation,primary,https://arxiv.org/abs/2502.11649
2502.12073,2025,Can LLMs Simulate Social Media Engagement? A Study on Action-Guided Response Generation,user_simulation,primary,https://arxiv.org/abs/2502.12073
2502.12109,2025,Generative Personality Simulation via Theory-Informed Structured Interview,psychology,primary,https://arxiv.org/abs/2502.12109
2502.12450,2025,Investigating and Extending Homans' Social Exchange Theory with Large Language Model Based Agents,social_simulation,primary,https://arxiv.org/abs/2502.12450
2502.12988,2025,Beyond Profile: From Surface-Level Facts to Deep Persona Simulation in LLMs,human_roleplay,extended,https://arxiv.org/abs/2502.12988
2502.13843,2025,Enhancing Cross-Domain Recommendations with Memory-Optimized LLM-Based User Agents,user_simulation,extended,https://arxiv.org/abs/2502.13843
2502.14642,2025,How Far are LLMs from Being Our Digital Twins? A Benchmark for Persona-Based Behavior Chain Simulation,digital_twins,primary,https://arxiv.org/abs/2502.14642
2502.17773,2025,How Many Human Survey Respondents is a Large Language Model Worth? An Uncertainty Quantification Perspective,survey_validation,primary,https://arxiv.org/abs/2502.17773
2502.18138,2025,Large Language Model Driven Agents for Simulating Echo Chamber Formation,social_simulation,primary,https://arxiv.org/abs/2502.18138
2502.19098,2025,Language-Driven Opinion Dynamics in Agent-Based Simulations with LLMs,social_simulation,primary,https://arxiv.org/abs/2502.19098
2502.20432,2025,Large Language Model Strategic Reasoning Evaluation through Behavioral Game Theory,economic_behavior,primary,https://arxiv.org/abs/2502.20432
2503.02016,2025,Mind the (Belief) Gap: Group Identity in the World of LLMs,social_simulation,primary,https://arxiv.org/abs/2503.02016
2503.02250,2025,AI Automatons: AI Systems Intended to Imitate Humans,methods_review,primary,https://arxiv.org/abs/2503.02250
2503.08709,2025,Simulating Influence Dynamics with LLM Agents,social_simulation,primary,https://arxiv.org/abs/2503.08709
2503.20749,2025,Can LLM Agents Simulate Multi-Turn Human Behavior? Evidence from Real Online Customer Behavior Data,consumer_simulation,primary,https://arxiv.org/abs/2503.20749
2504.02234,2025,LLM Social Simulations Are a Promising Research Method,methods_review,primary,https://arxiv.org/abs/2504.02234
2504.08742,2025,Simulating Filter Bubble on Short-video Recommender System with Large Language Model Agents,social_simulation,primary,https://arxiv.org/abs/2504.08742
2504.08954,2025,Should You Use LLMs to Simulate Opinions? Quality Checks for Synthetic Survey Research,survey_validation,primary,https://arxiv.org/abs/2504.08954
2504.10157,2025,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and a Pool of 10 Million Real-World Users,social_simulation,primary,https://arxiv.org/abs/2504.10157
2504.12313,2025,Exploring the Impact of Personality Traits on Conversational Recommender Systems: A Simulation with Large Language Models,user_simulation,extended,https://arxiv.org/abs/2504.12313
2504.12722,2025,SimUSER: Simulating User Behavior with Large Language Models for Recommender System Evaluation,user_simulation,primary,https://arxiv.org/abs/2504.12722
2505.21997,2025,Leveraging Interview-Informed LLMs to Model Survey Responses,survey_opinion,primary,https://arxiv.org/abs/2505.21997
2506.03532,2025,GA-S3: Comprehensive Social Network Simulation with Group Agents,social_simulation,primary,https://arxiv.org/abs/2506.03532
2506.04551,2025,PUB: An LLM-Enhanced Personality-Driven User Behaviour Simulator for Recommender System Evaluation,user_simulation,primary,https://arxiv.org/abs/2506.04551
2506.16702,2025,Large Language Models as Psychological Simulators: A Methodological Guide,methods_review,primary,https://arxiv.org/abs/2506.16702
2506.21805,2025,CitySim: Modeling Urban Behaviors and City Dynamics with Large-Scale LLM-Driven Agent Simulation,social_simulation,primary,https://arxiv.org/abs/2506.21805
2507.02919,2025,ChatGPT is not A Man but Das Man: Representativeness and Structural Consistency of Silicon Samples Generated by Large Language Models,survey_validation,primary,https://arxiv.org/abs/2507.02919
2507.06310,2025,Too Human to Model: The Uncanny Valley of LLMs in Social Simulation -- When Generative Language Agents Misalign with Modelling Principles,methods_validation,primary,https://arxiv.org/abs/2507.06310
2507.07188,2025,Prompt Perturbations Reveal Human-Like Biases in LLM Survey Responses,survey_validation,primary,https://arxiv.org/abs/2507.07188
